INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,geometry_wkt
Intersection 54,510293.64689641964,7510411.290983602,8,4,44,5,"POLYGON ((117.100199 -22.513026, 117.0997 -22.512981, 117.099699 -22.512765, 117.099704 -22.512493, 117.100053 -22.512493, 117.100247 -22.512538, 117.10033 -22.51257, 117.100476 -22.512705, 117.100528 -22.512764, 117.100558 -22.512827, 117.100558 -22.512872, 117.100528 -22.512981, 117.100247 -22.513026, 117.100199 -22.513026))"
Intersection 55,482658.8786224577,7514159.012345314,7,5,42,5,"POLYGON ((116.831415 -22.479339, 116.831259 -22.479286, 116.831091 -22.479167, 116.830982 -22.479016, 116.830982 -22.478983, 116.831001 -22.478875, 116.831128 -22.478622, 116.831196 -22.478513, 116.831765 -22.4785, 116.831841 -22.478514, 116.831941 -22.478603, 116.831867 -22.478809, 116.831424 -22.479331, 116.831415 -22.479339))"
Intersection 56,481788.8143570425,7513522.918668287,7,4,42,5,"POLYGON ((116.82278 -22.48509, 116.822663 -22.485012, 116.822517 -22.484774, 116.822518 -22.484557, 116.822732 -22.484196, 116.822829 -22.484151, 116.823072 -22.484151, 116.823301 -22.484273, 116.823398 -22.484364, 116.823436 -22.4844, 116.823471 -22.484674, 116.823446 -22.484698, 116.822877 -22.48509, 116.82278 -22.48509))"
Intersection 57,482963.617962245,7515748.047427989,7,4,42,5,"POLYGON ((116.834615 -22.464866, 116.834047 -22.464834, 116.833949 -22.464744, 116.833912 -22.464709, 116.833928 -22.464618, 116.833976 -22.464528, 116.834373 -22.463972, 116.834422 -22.463972, 116.834538 -22.464075, 116.834834 -22.464424, 116.834833 -22.464641, 116.83478 -22.464804, 116.834664 -22.464866, 116.834615 -22.464866))"
Intersection 58,482945.5990787508,7512762.155613907,14,4,41,5,"POLYGON ((116.834243 -22.491969, 116.83382 -22.49162, 116.833723 -22.491529, 116.833677 -22.491487, 116.833736 -22.491366, 116.834098 -22.491028, 116.834146 -22.491028, 116.834434 -22.49113, 116.834666 -22.491512, 116.834613 -22.491697, 116.834243 -22.491969))"
Intersection 59,482192.02488872927,7515456.180601,95,6,40,5,"POLYGON ((116.826753 -22.467627, 116.826705 -22.467582, 116.826447 -22.467204, 116.826434 -22.467178, 116.826411 -22.467112, 116.826511 -22.466886, 116.826549 -22.466817, 116.82684 -22.466668, 116.826983 -22.466674, 116.827149 -22.466768, 116.827386 -22.467081, 116.827405 -22.467266, 116.827385 -22.467298, 116.827241 -22.467442, 116.826839 -22.467602, 116.826753 -22.467627))"
Intersection 60,485460.7455663625,7513456.5748057,4,3,40,5,"POLYGON ((116.858602 -22.485713, 116.858409 -22.485667, 116.858248 -22.48517, 116.858249 -22.484953, 116.858636 -22.484742, 116.858992 -22.484909, 116.859108 -22.484972, 116.859108 -22.485017, 116.85891 -22.485629, 116.858793 -22.485713, 116.858602 -22.485713))"
Intersection 61,495445.6084845238,7512440.560361927,6,3,40,5,"POLYGON ((116.956008 -22.494757, 116.955619 -22.494667, 116.955536 -22.494635, 116.955248 -22.494486, 116.955248 -22.494269, 116.955619 -22.494224, 116.955716 -22.494224, 116.955959 -22.49427, 116.956111 -22.494315, 116.956124 -22.494604, 116.956124 -22.494649, 116.956063 -22.494757, 116.956008 -22.494757))"
Intersection 62,511979.50128367136,7511718.549442131,11,3,40,5,"POLYGON ((117.116626 -22.501402, 117.116164 -22.501288, 117.116115 -22.500847, 117.116115 -22.500587, 117.116349 -22.500587, 117.116847 -22.500602, 117.116847 -22.500819, 117.116745 -22.501215, 117.116704 -22.501329, 117.116626 -22.501402))"
Intersection 63,515180.70368298504,7510084.247151317,5,3,38,5,"POLYGON ((117.147846 -22.516061, 117.147423 -22.515894, 117.147326 -22.515849, 117.147083 -22.515669, 117.147074 -22.515661, 117.147165 -22.515483, 117.147554 -22.515393, 117.147602 -22.515393, 117.148012 -22.515483, 117.148012 -22.5157, 117.14798 -22.515879, 117.147963 -22.515953, 117.147895 -22.516061, 117.147846 -22.516061))"
