INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Centerline Intersection 78,712826.4199564167,7648160.379530041,48,4,55,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.050752 -21.256277, 119.050655 -21.256105, 119.050543 -21.25564, 119.050624 -21.255541, 119.050832 -21.255348, 119.050878 -21.255326, 119.050949 -21.255341, 119.051255 -21.255408, 119.051304 -21.255453, 119.051402 -21.255587, 119.051452 -21.255677, 119.051486 -21.255753, 119.051487 -21.255798, 119.051252 -21.256193, 119.051055 -21.256241, 119.0508 -21.256276, 119.050752 -21.256277))"
Centerline Intersection 79,712361.1779848118,7648434.763205307,5,3,35,4,CENTERLINE_GRAPH,,"POLYGON ((119.04649 -21.253855, 119.046445 -21.253814, 119.046263 -21.253559, 119.046062 -21.25324, 119.046066 -21.2532, 119.046223 -21.253085, 119.046516 -21.253041, 119.046613 -21.25304, 119.046695 -21.253071, 119.046792 -21.25316, 119.046842 -21.253267, 119.04683 -21.253417, 119.046797 -21.253494, 119.046642 -21.253735, 119.04649 -21.253855))"
Centerline Intersection 80,713288.6497262613,7649055.351174815,4,3,35,4,CENTERLINE_GRAPH,,"POLYGON ((119.05518 -21.248063, 119.055132 -21.248019, 119.055097 -21.247942, 119.055013 -21.247711, 119.054945 -21.247402, 119.054943 -21.247296, 119.055059 -21.247293, 119.055107 -21.247292, 119.055174 -21.247293, 119.055587 -21.247433, 119.055723 -21.247587, 119.055758 -21.247663, 119.055808 -21.247798, 119.055808 -21.247831, 119.055694 -21.247908, 119.055377 -21.248012, 119.05518 -21.248063))"
Centerline Intersection 82,711632.5898628636,7648248.400706097,6,3,34,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.03973 -21.255571, 119.039323 -21.255377, 119.039192 -21.255302, 119.039158 -21.255271, 119.039143 -21.255257, 119.03906 -21.255136, 119.039058 -21.255001, 119.039124 -21.254892, 119.039186 -21.254832, 119.039701 -21.25484, 119.039818 -21.254932, 119.039855 -21.255389, 119.03973 -21.255571))"
Centerline Intersection 88,713426.9763695863,7648534.60749444,3,3,30,4,CENTERLINE_GRAPH,,"POLYGON ((119.056643 -21.252832, 119.056595 -21.252787, 119.05656 -21.252711, 119.056358 -21.252081, 119.056358 -21.252056, 119.056555 -21.252002, 119.057101 -21.252054, 119.057104 -21.252271, 119.05684 -21.252782, 119.056643 -21.252832))"
Centerline Intersection 91,712522.4511767572,7650901.341558615,5,3,29,4,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.047845 -21.231579, 119.047809 -21.231567, 119.047679 -21.231427, 119.047299 -21.230923, 119.047283 -21.230802, 119.047378 -21.23071, 119.047423 -21.230684, 119.047567 -21.230637, 119.047686 -21.230661, 119.047701 -21.230675, 119.047818 -21.230782, 119.047881 -21.23084, 119.048105 -21.231166, 119.048177 -21.231351, 119.048129 -21.231396, 119.047939 -21.231534, 119.047845 -21.231579))"
Centerline Intersection 92,712698.9002457615,7648805.1647941135,2,3,29,4,CENTERLINE_GRAPH,,"POLYGON ((119.04993 -21.250355, 119.04933 -21.250243, 119.049251 -21.250136, 119.04925 -21.250091, 119.04933 -21.249968, 119.049628 -21.249568, 119.049662 -21.249558, 119.049859 -21.249565, 119.050091 -21.2502, 119.04993 -21.250355))"
Centerline Intersection 93,713142.8321092941,7647676.266249001,1,3,29,4,CENTERLINE_GRAPH,,"POLYGON ((119.054423 -21.260477, 119.053795 -21.260394, 119.053678 -21.260292, 119.053678 -21.260287, 119.053911 -21.259721, 119.054108 -21.259663, 119.054157 -21.259708, 119.054585 -21.260366, 119.054586 -21.260398, 119.054471 -21.260476, 119.054423 -21.260477))"
Centerline Intersection 94,713329.2472199791,7648878.3578541195,2,3,29,4,CENTERLINE_GRAPH,,"POLYGON ((119.055603 -21.249695, 119.055451 -21.249157, 119.0554 -21.248977, 119.055399 -21.248911, 119.055596 -21.248898, 119.056114 -21.249029, 119.056117 -21.249239, 119.055834 -21.249692, 119.055603 -21.249695))"
Centerline Intersection 95,713639.9495762428,7647824.90818363,5,3,29,4,CENTERLINE_GRAPH,,"POLYGON ((119.058526 -21.258986, 119.058471 -21.258558, 119.05847 -21.258429, 119.058701 -21.258426, 119.059229 -21.258607, 119.059394 -21.258759, 119.059379 -21.258897, 119.059214 -21.258969, 119.058757 -21.258983, 119.058526 -21.258986))"
